Levels,ID,Indicator,Category,Labels,version
Level-0,F+MM-0.0C,Dataset(s) are NOT Identifiable via Unique Identifiers,Content & Context,,2022-08-01
Level-0,F+MM-0.1C,Study/Project-Level metadata is NOT reported,Content & Context,,2022-08-01
Level-0,F+MM-0.2C,Dataset Descriptor does NOT include a reference to the Dataset it describes,Content & Context,,2022-08-01
Level-0,F+MM-0.1R,Contextual Metadata is NOT formally represented in any form ,Representation & Format,,2022-08-01
Level-0,F+MM-0.2R,No representation of Data purposed for FAIR sharing is available,Representation & Format,,2022-08-01
Level-0,F+MM-0.3R,Dataset Metadata is NOT formally represented in a structured Dataset Descriptor ,Representation & Format,,2022-08-01
Level-0,F+MM-0.4R,Dataset Descriptor (metadata) is NOT available in a Machine Readable Format,Representation & Format,,2022-08-01
Level-0,F+MM-0.5R,Dataset(s) are NOT available in a Machine Readable Format,Representation & Format,,2022-08-01
Level-0,F+MM-0.1H,"Data or metadata is hosted in non-accessible storage (e.g., personal desktop, local file system or archive)",Hosting Env. Capabilities,,2022-08-01
Level-0,F+MM-0.2H,Data or metadata hosted in an accessible resource but with no retrieval capability,Hosting Env. Capabilities,,2022-08-01
Level-0,F+MM-0.3H,Dataset's Metadata is NOT searchable via keywords or elements within the Descriptor ,Hosting Env. Capabilities,,2022-08-01
Level-1,F+MM-1.0C,Each Dataset purposed for FAIR sharing is assigned a unique identifier,Content & Context,identifier,2022-08-01
Level-1,F+MM-1.1C,Dataset Descriptor includes Descriptive Study/Project-Level summary information,Content & Context,project metadata,2022-08-01
Level-1,F+MM-1.2C,Dataset Descriptor includes Identifying & Descriptive Dataset-Level metadata,Content & Context,"project metadata, metadata standards",2022-08-01
Level-1,F+MM-1.3C,Dataset Descriptor contains access information for the Dataset,Content & Context,data access,2022-08-01
Level-1,F+MM-1.0R,Dataset Metadata is formally represented in the form of an Identifiable Dataset Descriptor,Representation & Format,metadata format,2022-08-01
Level-1,F+MM-1.1R,Contextual Metadata is reported at summary level and represented in the Dataset Descriptor,Representation & Format,contextual metadata,2022-08-01
Level-1,F+MM-1.2R,Structured and/or Unstructured Data are organised into Dataset(s) created for the purpose of FAIR sharing,Representation & Format,,2022-08-01
Level-1,F+MM-1.3R,A representation of the Dataset Descriptor conforming to a relevant General Purpose Metadata Schema is available,Representation & Format,,2022-08-01
Level-1,F+MM-1.4R,Dataset Descriptor is available in Machine Readable Format,Representation & Format,data format,2022-08-01
Level-1,F+MM-1.5R,Dataset(s) available in Machine Readable Format ,Representation & Format,data format,2022-08-01
Level-1,F+MM-1.1H,Metadata hosting environment stores and maintains an identifiable Dataset Descriptor for each identifiable Dataset,Hosting Env. Capabilities,data hosting,2022-08-01
Level-1,F+MM-1.2H,The Dataset and its Descriptor are indexed and retrievable (in the same or separate hosting environments) via unique and persistent identifiers ,Hosting Env. Capabilities,search engine,2022-08-01
Level-1,F+MM-1.3H,"Retrieval of the Dataset and the Dataset Descriptor utilises a standardized communication protocol that is open, free and universally implementable",Hosting Env. Capabilities,data retrieval,2022-08-01
