name,description,version,identifier,category,lastUpdate,label,location,relatesTo,requires,requiredBy,isBefore,isAfter
Data access and ethics,Determine data access for FAIRification,2020-12-01,process-7201634925228134237,processes,2021-02-05,"accessibility, hosting",,process-8298344911298610653,,,process-8298344911298610653,
Interim hosting,"Host data in interim solution and make available for FAIRification processes.
",2020-12-01,process-8298344911298610653,processes,2021-02-05,"accessibility, hosting",,"process238355532526975171, process-7201634925228134237",,,process238355532526975171,process-7201634925228134237
Long term hosting,"Match data types to available hosting solutions eg. public repos, EFPIA cloud.
Examine dataset hosting choices and needs (size, complexity, analytics)
",2020-12-01,process238355532526975171,processes,2021-02-05,"accessibility, hosting",,"process-568280961313138723, process-8298344911298610653",,,process-568280961313138723,process-8298344911298610653
Data Usability Goals,"Define desired and expected outcomes of FAIRification.
",2020-12-01,process-568280961313138723,processes,2021-02-05,,,"process6303934084986307113, process238355532526975171",,,process6303934084986307113,process238355532526975171
Competency questions,"Determine competency questions for FAIRification
",2020-12-01,process6303934084986307113,processes,2021-02-05,,,"process-4022619904400672439, process-568280961313138723",,,process-4022619904400672439,process-568280961313138723
Examination,"Dataset owners 
and FAIR experts examine datasets and reach shared understanding
",2020-12-01,process-4022619904400672439,processes,2021-02-05,,,"process-5053427395880553195, process6303934084986307113",,,process-5053427395880553195,process6303934084986307113
Understand data types,Identify Data Types and primary organising principles,2020-12-01,process-5053427395880553195,processes,2021-02-05,,,"process-4542955192858635464, process-4022619904400672439",,,process-4542955192858635464,process-4022619904400672439
Identifier strategies,"Determine identifier strategy for data types. 
Assign identifiers in accordance with strategy.
Mapping identifiers to established data sources



",2020-12-01,process-4542955192858635464,processes,2021-02-05,,,"process514831807475787382, process-5053427395880553195",,,process514831807475787382,process-5053427395880553195
Metadata strategies,"Determine  project metadata strategies using FAIRsharing.
Apply metadata strategies to datasets.
",2020-12-01,process514831807475787382,processes,2021-02-05,"accessibility, findability, reusability,interoperability, http://edamontology.org/topic_0219",,"process4797913240548361534, process-4542955192858635464",indicator8273044894976530631,,process4797913240548361534,process-4542955192858635464
Evaluate against standards,"Compare datasets to community standards.
Evaluate datasets using FAIR indicators that are appropriate given competency questions

",2020-12-01,process4797913240548361534,processes,2021-02-05,reusability,,"process-8491626043857545931, process514831807475787382",,,process-8491626043857545931,process514831807475787382
