Entity,Type,Superclass(es),http://www.w3.org/2000/01/rdf-schema#label,http://edamontology.org/created_in,http://www.geneontology.org/formats/oboInOwl#hasDefinition,
http://edamontology.org/data_0005,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Resource type'","'beta12orEarlier'","'A type of computational resource used in bioinformatics.'",
http://edamontology.org/data_0006,Class,http://www.w3.org/2002/07/owl#Thing,"'Data'","'beta12orEarlier'","'Information, represented in an information artefact (data record) that is 'understandable' by dedicated computational tools that can use the data as input or produce it as output.'",
http://edamontology.org/data_0007,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Tool'","'beta12orEarlier'","'A bioinformatics package or tool, e.g. a standalone application or web service.'",
http://edamontology.org/data_0581,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Database'","'beta12orEarlier'","'A digital data archive typically based around a relational model but sometimes using an object-oriented, tree or graph-based model.'",
http://edamontology.org/data_0582,Class,http://edamontology.org/data_2353,"'Ontology'","'beta12orEarlier'","'An ontology of biological or bioinformatics concepts and relations, a controlled vocabulary, structured glossary etc.'",
http://edamontology.org/data_0583,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Directory metadata'","'beta12orEarlier'","'A directory on disk from which files are read.'",
http://edamontology.org/data_0831,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'MeSH vocabulary'","'beta12orEarlier'","'Controlled vocabulary from National Library of Medicine. The MeSH thesaurus is used to index articles in biomedical journals for the Medline/PubMED databases.'",
http://edamontology.org/data_0832,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'HGNC vocabulary'","'beta12orEarlier'","'Controlled vocabulary for gene names (symbols) from HUGO Gene Nomenclature Committee.'",
http://edamontology.org/data_0835,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'UMLS vocabulary'","'beta12orEarlier'","'Compendium of controlled vocabularies for the biomedical domain (Unified Medical Language System).'",
http://edamontology.org/data_0842,Class,http://edamontology.org/data_0006,"'Identifier'","'beta12orEarlier'","'A text token, number or something else which identifies an entity, but which may not be persistent (stable) or unique (the same identifier may identify multiple things).'",
http://edamontology.org/data_0843,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Database entry'","'beta12orEarlier'","'An entry (retrievable via URL) from a biological database.'",
http://edamontology.org/data_0844,Class,http://edamontology.org/data_2050,"'Molecular mass'","'beta12orEarlier'","'Mass of a molecule.'",
http://edamontology.org/data_0845,Class,http://edamontology.org/data_2050,"'Molecular charge'","'beta12orEarlier'","'Net charge of a molecule.'",
http://edamontology.org/data_0846,Class,http://edamontology.org/data_2050,"'Chemical formula'","'beta12orEarlier'","'A specification of a chemical structure.'",
http://edamontology.org/data_0847,Class,http://edamontology.org/data_2050,"'QSAR descriptor'","'beta12orEarlier'","'A QSAR quantitative descriptor (name-value pair) of chemical structure.'",
http://edamontology.org/data_0848,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Raw sequence'","'beta12orEarlier'","'A raw molecular sequence (string of characters) which might include ambiguity, unknown positions and non-sequence characters.'",
http://edamontology.org/data_0849,Class,http://edamontology.org/data_2044,"'Sequence record'","'beta12orEarlier'","'A molecular sequence and associated metadata.'",
