name,description,labels,location,lastUpdate,resourceType
TAMR,"A cloud-native data mastering solution (cloud MDM) accelerate analytics through machine learning (ML), available on Google Cloud, Azure and AWS.","Data query and retrieval,information integration, data unification",https://www.tamr.com/,2021-08-04,tool
Bert,"Bidirectional Encoder Representations from Transformers (BERT) is a Transformer-based machine learning technique for natural language processing (NLP) pre-training developed by Google, aiming to extractcontext-sensitive features from an input text.","Data query and retrieval,relationship extraction",https://github.com/google-research/bert,2021-08-04,tool
Termite,"TERMite (TERM identification, tagging & extraction) is a fast named entity recognition (NER) and extraction engine for semantic analytics.","Data query and retrieval,information extraction",https://www.scibite.com/platform/termite/,2021-08-04,tool
Oracle clinical,"a single application and infrastructure for electronic data capture and clinical data management, while leveraging the renowned Oracle database. Oracle Clinical enables management of all clinical trial data in a single system, improving accuracy, visibility, and data integrity.","Data query and retrieval,Clinical data",https://www.oracle.com/uk/industries/life-sciences/clinical-research/,2021-08-04,tool
GeoBoost2,A natural languageprocessing pipeline for GenBank metadata enrichment for virus phylogeography.,"Data query and retrieval,Biotechnology, Natural language processing, Workflows, Public health and epidemiology, Infectiousdisease",https://bio.tools/geoboost2,2021-08-04,tool
MartView,Tool for data retrieval and data mining that integrates data from Ensembl. Through the web interface it allows you to apply a series of filters to create custom datasets which can be converted to several useful output formats.,"Data query and retrieval,Pathology, Data integration and warehousing, Database management, Molecular interactions, pathways and networks, Gene transcripts",https://bio.tools/martview,2021-08-04,tool
CLOBNET,"Cloud-based machine learning system (CLOBNET) that is an open-source, lean infrastructure for electronic health record (EHR) data integration and is capable of extract, transform, and load (ETL) processing","Data query and retrieval,Machine learning, Medicines research and development",https://bio.tools/CLOBNET,2021-08-04,tool
PDBUSQLExtractor,Scalable Extraction of Big Macromolecular Data in Azure Data Lake Environment.,"Data query and retrieval,Nucleic acid structure analysis",https://bio.tools/PDBUSQLExtractor,2021-08-04,tool
repo,"A data manager meant to avoid manual storage/retrieval of data to/from the file system. It builds one (or more) centralized repository where R objects are stored with rich annotations, including corresponding code chunks, and easily searched and retrieved.","Data query and retrieval,Data submission, annotation and curation, Data management, Database management",https://bio.tools/repo,2021-08-04,tool
SNPator,"Originally designed to help CeGen users to handle, retrieve, transform and analyze the genetic data generated by the genotyping facilities of the institution. However, it is also open to external users who may want to upload their own genotyped data in order to take advantage its data processing features. Users will be able to perform a set of operations which may range from very simple format transformations to some complex biostatistical calculations.","Data query and retrieval,Bioinformatics, Data quality management, Genetic variation, GWAS study",https://bio.tools/snpator,2021-08-04,tool
PyGMQL,Scalable data extraction and analysis for heterogeneous genomic datasets. Based on GMQL.,"Data query and retrieval,Imaging, Workflows, Database management",https://bio.tools/PyGMQL,2021-08-04,tool
PlantPIs,Web querying system for a database collecting plant protease inhibitors data.,"data portals,Database Portal",https://bio.tools/plantpis,2021-08-04,tool
BAGET,"Web service designed to facilitate extraction of specific gene and protein sequences from completely determined prokaryotic genomes. Query results can be exported as a rich text format file for printing, archival or further analysis.","data portals,DNA, Sequencing, Model organisms, Sequence analysis",https://bio.tools/baget,2021-08-04,tool
NCBI Resources,Analysis and retrieval resources for the data in GenBank and other biological data made available through the NCBI web site.,"data portals,Data mining, Data integration and warehousing, Database management, Molecular interactions, pathways and networks, Rare diseases",https://bio.tools/ncbi_resources,2021-08-04,tool
